Epoch TRAIN_ACCURACY TEST_ACCURACY TRAIN_LOSS TEST_LOSS
1 0.8546220958729537 0.9456364647026125 |tensor(0.0157, grad_fn=<DivBackward0>)| 0.17916243650172406
2 0.9147534555435741 0.9576431350750417 |tensor(0.0093, grad_fn=<DivBackward0>)| 0.14187766176385969
3 0.9274580923438879 0.9610894941634242 |tensor(0.0080, grad_fn=<DivBackward0>)| 0.13678852736519204
4 0.9347318890304872 0.9656475819899945 |tensor(0.0072, grad_fn=<DivBackward0>)| 0.1204414711189376
5 0.9384962258602098 0.9682045580878266 |tensor(0.0068, grad_fn=<DivBackward0>)| 0.11164351373728677
6 0.9404960298009999 0.9696498054474708 |tensor(0.0066, grad_fn=<DivBackward0>)| 0.10714046018132904
7 0.9422997745319086 0.9697609783212896 |tensor(0.0064, grad_fn=<DivBackward0>)| 0.10768544492355779
8 0.9443191843936869 0.970094496942746 |tensor(0.0062, grad_fn=<DivBackward0>)| 0.10513434163592404
9 0.9451622389961768 0.9707615341856587 |tensor(0.0061, grad_fn=<DivBackward0>)| 0.10439709699968949
10 0.9425938633467307 0.9710950528071151 |tensor(0.0063, grad_fn=<DivBackward0>)| 0.10350609143751736
