Epoch TRAIN_ACCURACY TEST_ACCURACY TRAIN_LOSS TEST_LOSS
1 0.8674197850474622 0.9354120267260579 0.013730828650295734 0.22036722094019698
2 0.9489291598023064 0.9527839643652561 0.005596608854830265 0.14973674850633786
3 0.9653251745508747 0.9576837416481069 0.003820068435743451 0.12480410977301991
4 0.9712089119008395 0.9603563474387528 0.003136187558993697 0.11487017761094533
5 0.9761512512748097 0.9621380846325167 0.0025984144303947687 0.1133251971816167
6 0.9776417980701342 0.9661469933184855 0.002391860354691744 0.10567339618912253
7 0.9796030438534558 0.9665924276169265 0.0022146664559841156 0.10335577813978981
8 0.9807797913234486 0.9657015590200445 0.002075969474390149 0.09989587660621695
9 0.9809366909861144 0.9657015590200445 0.0020598615519702435 0.10052014629134622
10 0.9814073899741116 0.9674832962138085 0.0020080790854990482 0.1000817254285239
