Epoch TRAIN_ACCURACY TEST_ACCURACY TRAIN_LOSS TEST_LOSS
1 0.7382972038956959 0.8884892086330936 0.025251969695091248 0.41671574544563567
2 0.8988375746151429 0.9118705035971223 0.010696683079004288 0.2883304623391131
3 0.9217719132893497 0.920863309352518 0.00787331536412239 0.27756958556689804
4 0.9403078856424757 0.9262589928057554 0.006158038508147001 0.2340826405038079
5 0.9475337731699655 0.9280575539568345 0.005437701009213924 0.2343773052846785
6 0.9531888155827836 0.9316546762589928 0.004882025998085737 0.2167895749318514
7 0.9591580270185359 0.9406474820143885 0.004556600470095873 0.21533116676824557
8 0.960100534087339 0.9370503597122302 0.004085761494934559 0.20929823676459222
9 0.9654414074772227 0.935251798561151 0.003915093839168549 0.20542507034411533
10 0.9663839145460258 0.9388489208633094 0.003641788847744465 0.20610607613762505
