Epoch TRAIN_ACCURACY TEST_ACCURACY TRAIN_LOSS TEST_LOSS
1 0.8549161846877757 0.9513062812673707 |tensor(0.0157, grad_fn=<DivBackward0>)| 0.16019800089676556
2 0.9118713851583178 0.9629794330183435 |tensor(0.0096, grad_fn=<DivBackward0>)| 0.12538678528137376
3 0.9242035094598569 0.9657587548638132 |tensor(0.0082, grad_fn=<DivBackward0>)| 0.11715502566665725
4 0.928477600235271 0.9687604224569205 |tensor(0.0077, grad_fn=<DivBackward0>)| 0.10563184516571707
5 0.9346534653465347 0.9694274596998332 |tensor(0.0072, grad_fn=<DivBackward0>)| 0.10012669120648625
6 0.9354965199490246 0.971650917176209 |tensor(0.0071, grad_fn=<DivBackward0>)| 0.09619058096919078
7 0.9380845015194589 0.9708727070594775 |tensor(0.0067, grad_fn=<DivBackward0>)| 0.10111282204441921
8 0.9387903146750318 0.9719844357976654 |tensor(0.0066, grad_fn=<DivBackward0>)| 0.09630968519023156
9 0.9394569159886286 0.9723179544191217 |tensor(0.0067, grad_fn=<DivBackward0>)| 0.09414623572204828
10 0.9398294284874033 0.9724291272929405 |tensor(0.0064, grad_fn=<DivBackward0>)| 0.09438952307624245
