Epoch TRAIN_ACCURACY TEST_ACCURACY TRAIN_LOSS TEST_LOSS
1 0.9074117647058824 0.9534935469514909 0.009633868001401424 0.1534241310055117
2 0.9646666666666667 0.9650645304850912 0.003691241377964616 0.11116586879565549
3 0.9734901960784313 0.9717400979083222 0.002765342826023698 0.09225399694710135
4 0.9790588235294118 0.9739652870493992 0.0022406240459531546 0.08861138293304918
5 0.9814509803921568 0.9746328437917223 0.001954735955223441 0.08609996841491781
6 0.9818039215686275 0.9744103248776146 0.0018712134333327413 0.08489183494659545
7 0.9832156862745098 0.9766355140186916 0.0017403055680915713 0.08172480604836396
8 0.9847450980392157 0.9759679572763685 0.0016700581181794405 0.08067319145932642
9 0.9852156862745098 0.9764129951045839 0.0015594559954479337 0.07962709561845807
10 0.9863529411764705 0.9773030707610146 0.0015350672183558345 0.07960377654129525
