Epoch TRAIN_ACCURACY TEST_ACCURACY TRAIN_LOSS TEST_LOSS
1 0.9308303107538477 0.9634241245136187 0.007208387367427349 0.11852271868295972
2 0.971100872463484 0.9762090050027793 0.0029710133094340563 0.08166424558850512
3 0.9787079698068817 0.9798777098387993 0.002238635206595063 0.07157095950997625
4 0.9818841290069601 0.9816564758198999 0.0019129362190142274 0.06663493251323435
5 0.9836878737378688 0.9835464146748193 0.001734330435283482 0.060153153076511146
6 0.985413194784825 0.9833240689271817 0.0015890310751274228 0.05822599409950515
7 0.9861386138613861 0.9835464146748193 0.0014602813171222806 0.05822632870719193
8 0.986824821095971 0.9828793774319066 0.001395100960507989 0.06021227833958319
9 0.9874522105675914 0.9837687604224569 0.0014011514140293002 0.05687515360570868
10 0.9874522105675914 0.9845469705391885 0.0013839310267940164 0.05637417677179053
