Epoch TRAIN_ACCURACY TEST_ACCURACY TRAIN_LOSS TEST_LOSS
1 0.812431329461623 0.8257372654155496 0.01878238096833229 0.49388600162782237
2 0.9270130277821378 0.9115281501340483 0.008006993681192398 0.2648367076393107
3 0.9504002511379689 0.936550491510277 0.00572364404797554 0.1873518182722131
4 0.9574635065138911 0.9419124218051832 0.004736534785479307 0.1568585984721793
5 0.9631141108146288 0.9436997319034852 0.0039000683464109898 0.16343733793502413
6 0.9682938314236383 0.9445933869526363 0.003373658750206232 0.15327978602896
7 0.970334327421127 0.9436997319034852 0.0032392737921327353 0.15293708371732573
8 0.9717469784963114 0.9472743521000894 0.003005129983648658 0.14986286257078224
9 0.9715900172657354 0.9472743521000894 0.002899416256695986 0.15001754828922656
10 0.9714330560351593 0.9481680071492404 0.0028808917850255966 0.1456878630575908
